"File","Expect","Status","Heard","Matched","Score","Transcript","Ok"
"01-clean-adiba-500.wav","Adiba","confirm","আদিবা","Adiba","100","আদিবার নাম্বারে পাঁচশো টাকা পাঠাও।","True"
"01-clean-adiba-500.wav","Adiba","confirm","আদিবা","Adiba","100","আদিবার নাম্বারে পাঁচশো টাকা পাঠাও।","True"
"02-clean-tanvir-900.wav","Tanvir","confirm","তান্ভির","Tanvir","100","তান্ভিরকে নয়সো টাকা পাঠাও।","True"
"02-clean-tanvir-900.wav","Tanvir","confirm","তান্ভির","Tanvir","100","তান্ভিরকে নয়সো টাকা পাঠাও।","True"
"03b-mumble-heavy.wav","Adiba","confirm","আদিবা","Adiba","100","আদিবার নাম্বারে পাঁচশো টাকা পাঠাও।","True"
"03b-mumble-heavy.wav","Adiba","confirm","আদিবা","Adiba","100","আদিবার নাম্বারে পাঁচশো টাকা পাঠাও।","True"
"07-over-balance.wav","Amma","over_balance","আম্মা","Amma","100","আম্মাকে পঞ্চাশ হাজার টাকা পাঠাও।","True"
"07-over-balance.wav","Amma","over_balance","আম্মা","Amma","100","আম্মাকে পঞ্চাশ হাজার টাকা পাঠাও।","True"
"06-unknown-recipient.wav","","unrecognized",,,,"রাখিপকে তিনসরা খাপা থাও।","True"
"06-unknown-recipient.wav","","unrecognized",,,,"রাখিপকে তিনসরা খাপা থাও।","True"
